"","district","DistrictName","year","district_year","bodilyHarm","robberyFromOrOutOfCars","robberyOfCars","dangerousBodilyHarm","violentCrime","murderAndManslaughter","robberyIncludingExtortionAndAttackOfCarDrivers","vandalism","vandalismGraffiti","streetCrime","burglaryDaylight","burglary","EastWest"
"187",5770,"Minden-Lübbecke",2013,"5770y2013",810,1099,87,302,470,7,138,1548,294,4143,196,525,1
"188",5774,"Paderborn",2013,"5774y2013",1086,956,63,412,566,3,120,1755,211,4488,145,365,1
"189",5911,"Bochum",2013,"5911y2013",2466,2924,152,872,1337,9,417,3810,489,9116,750,1549,1
"190",5913,"Dortmund",2013,"5913y2013",3975,6593,336,1935,3257,19,1221,6362,1291,20325,1293,2464,1
"191",5914,"Hagen",2013,"5914y2013",1010,979,55,320,553,2,212,1817,240,3783,318,630,1
"192",5915,"Hamm",2013,"5915y2013",793,1092,47,297,455,4,120,1724,245,4019,168,348,1
"193",5916,"Herne",2013,"5916y2013",1015,1093,80,246,409,3,146,1592,169,3963,292,619,1
"194",5954,"Ennepe-Ruhr-Kreis",2013,"5954y2013",1328,1332,91,395,589,4,173,2922,429,5141,554,1079,1
"195",5958,"Hochsauerlandkreis",2013,"5958y2013",949,846,43,232,358,9,89,1824,194,3240,92,311,1
"196",5962,"Märkischer Kreis",2013,"5962y2013",2117,1984,105,583,875,14,234,3888,275,6558,449,974,1
"197",5966,"Olpe",2013,"5966y2013",560,304,31,170,209,1,33,951,79,1335,68,170,1
"198",5970,"Siegen-Wittgenstein",2013,"5970y2013",1112,644,38,381,483,1,81,2302,344,3553,133,322,1
"199",5974,"Soest",2013,"5974y2013",1245,954,75,372,521,4,118,2479,271,5065,226,549,1
"200",5978,"Unna",2013,"5978y2013",1676,1807,127,556,872,5,272,3565,577,7780,620,1362,1
"201",6411,"Darmstadt",2013,"6411y2013",574,459,29,315,438,1,109,1098,282,2275,91,208,1
"202",6412,"Frankfurt am Main",2013,"6412y2013",3914,5609,284,2176,3315,34,1016,7296,1664,19380,838,2130,1
"203",6413,"Offenbach am Main",2013,"6413y2013",568,929,41,314,558,8,210,902,131,2680,219,460,1
"204",6414,"Wiesbaden",2013,"6414y2013",1635,1606,72,792,1062,13,222,2350,221,4867,261,555,1
"205",6431,"Bergstraße",2013,"6431y2013",537,752,28,228,324,10,79,1051,66,2577,132,353,1
"206",6432,"Darmstadt-Dieburg",2013,"6432y2013",583,619,39,236,308,7,56,1067,104,2144,125,330,1
"207",6433,"Groß-Gerau",2013,"6433y2013",454,645,38,202,289,5,67,1064,72,2298,210,394,1
"208",6434,"Hochtaunuskreis",2013,"6434y2013",600,644,67,213,309,9,69,1382,171,2337,306,713,1
"209",6435,"Main-Kinzig-Kreis",2013,"6435y2013",908,1034,80,350,582,16,175,2042,318,4038,268,746,1
"210",6436,"Main-Taunus-Kreis",2013,"6436y2013",621,801,51,275,356,3,64,1202,67,2547,250,610,1
"211",6437,"Odenwaldkreis",2013,"6437y2013",193,110,6,76,102,0,22,370,25,514,22,59,1
"212",6438,"Offenbach",2013,"6438y2013",831,1203,77,375,582,6,175,1684,216,4153,331,798,1
"213",6439,"Rheingau-Taunus-Kreis",2013,"6439y2013",420,450,24,149,203,3,35,952,109,1432,119,306,1
"214",6440,"Wetteraukreis",2013,"6440y2013",786,762,82,292,408,15,89,1609,102,2681,187,451,1
"215",6531,"Gießen",2013,"6531y2013",880,649,70,350,512,22,111,1341,116,2544,176,476,1
"216",6532,"Lahn-Dill-Kreis",2013,"6532y2013",584,490,35,216,320,25,62,962,85,1793,144,312,1
"217",6533,"Limburg-Weilburg",2013,"6533y2013",464,615,32,212,280,11,39,793,46,1481,99,235,1
"218",6534,"Marburg-Biedenkopf",2013,"6534y2013",835,389,31,251,371,11,83,1454,255,1838,71,208,1
"219",6535,"Vogelsbergkreis",2013,"6535y2013",275,217,12,91,119,5,15,446,16,656,25,82,1
"220",6611,"Kassel",2013,"6611y2013",936,1012,121,483,769,16,246,1747,356,3787,200,422,1
"221",6631,"Fulda",2013,"6631y2013",622,486,26,249,342,7,74,1137,241,1856,45,131,1
"222",6632,"Hersfeld-Rotenburg",2013,"6632y2013",391,368,21,136,207,7,59,626,41,958,31,133,1
"223",6633,"Kassel",2013,"6633y2013",407,375,79,198,256,3,44,965,128,1363,117,285,1
